IP,connection,Status,AS_num,AS_name,host
202.97.45.229,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.12.41,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.94.14,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
129.250.2.157,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-1.r30.tokyjp05.jp.bb.gin.ntt.net
129.250.2.51,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-4.r24.tkokhk01.hk.bb.gin.ntt.net
129.250.6.92,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-1.r02.tkokhk01.hk.bb.gin.ntt.net
129.250.6.125,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-2.a01.newthk03.hk.bb.gin.ntt.net
198.97.190.53,1,Intermediate,1508.0,"DNIC-AS-01508, US",h.root-servers.net
61.137.9.85,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.77.165,2,Intermediate,,,NA
202.97.94.146,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.94.102,2,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
213.239.224.253,1,Intermediate,24940.0,"HETZNER-AS, DE",core24.fsn1.hetzner.com
213.239.229.70,1,Intermediate,24940.0,"HETZNER-AS, DE",ex9k1.dc2.fsn1.hetzner.com
202.97.77.141,1,Intermediate,,,NA
202.97.94.142,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
202.97.60.214,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
129.250.2.155,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-2.r31.tokyjp05.jp.bb.gin.ntt.net
129.250.2.242,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-4.r21.sngpsi07.sg.bb.gin.ntt.net
129.250.3.90,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",ae-2.r00.sngpsi07.sg.bb.gin.ntt.net
192.80.17.118,1,Intermediate,2914.0,"NTT-COMMUNICATIONS-2914, US",NA
139.162.0.2,1,Intermediate,63949.0,"LINODE-AP Linode, LLC, US",NA
139.162.27.28,1,Intermediate,63949.0,"LINODE-AP Linode, LLC, US",ctr-sin02.atlas.ripe.net
220.170.36.45,1,Intermediate,4134.0,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",NA
