From,To,Date,Time,Next_Hop,AS_PATH,Announce,Withdraw
154.11.15.28,179.0.156.33,04/28/20,12:30:27,154.11.15.28,"['852', '1299', '6762', '17557', '132165']","['  196.246.195.0/24', '  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:28,154.11.15.28,"['852', '1299', '2914', '3130']",['  147.28.38.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:29,154.11.15.28,"['852', '6939', '40676']",['  116.206.75.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:30,154.11.15.28,"['852', '1299', '701', '6620']",['  209.40.173.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:31,154.11.15.28,"['852', '2914', '3491', '262589', '52280']","['  190.211.174.0/23', '  190.211.175.0/24', '  190.211.167.0/24', '  190.211.161.0/24', '  190.211.174.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:32,154.11.15.28,"['852', '3356', '174', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:33,154.11.15.28,"['852', '2914', '5539', '58365']",['  147.28.54.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:34,154.11.15.28,"['852', '1299', '5539', '58365']",['  147.28.52.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:35,154.11.15.28,"['852', '1299', '7738', '262999', '262999', '262999', '262999', '52978', '264973']","['  170.0.138.0/24', '  170.0.136.0/24', '  170.0.137.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:36,154.11.15.28,"['852', '6453', '49832', '39216', '208293', '209565', '51684']",['  82.199.219.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:37,154.11.15.28,"['852', '1299', '8220', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:38,154.11.15.28,"['852', '2914', '3356', '209', '721', '27064']","['  141.236.0.0/16', '  128.44.160.0/21', '  155.220.28.0/24', '  128.44.12.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:39,154.11.15.28,"['852', '1299', '31027', '44869', '58360']",['  45.132.190.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:41,154.11.15.28,"['852', '1299', '7738', '262999', '262999', '262999', '262999', '52978', '264973']",['  170.0.139.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:42,154.11.15.28,"['852', '3356', '6620']",['  209.40.173.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:43,154.11.15.28,"['852', '1299', '9498', '21433']",['  170.248.190.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:44,154.11.15.28,"['852', '2914', '16509']",['  130.137.99.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:45,154.11.15.28,"['852', '1299', '2914', '5539', '58365']",['  147.28.54.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:46,154.11.15.28,"['852', '6461', '7473', '17557', '132165']","['  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24', '  196.246.195.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:47,154.11.15.28,"['852', '1299', '3356', '3549', '22548', '58364']",['  147.28.48.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:48,154.11.15.28,"['852', '1299', '3356', '3549', '22548', '58364']",['  147.28.48.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:49,154.11.15.28,"['852', '3356', '1299', '4739']",['  203.1.78.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:50,154.11.15.28,"['852', '174', '7049']",['  200.47.37.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:51,154.11.15.28,"['852', '1299', '174', '36944', '327700']",['  41.94.132.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:52,154.11.15.28,"['852', '3356', '49367', '28716', '202258']",['  213.138.216.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:53,154.11.15.28,"['852', '3356', '3216', '35168', '21299']","['  5.34.88.0/21', '  37.99.84.0/24', '  95.82.71.0/24', '  37.99.83.0/24', '  37.99.100.0/24', '  37.99.3.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:54,154.11.15.28,"['852', '6453', '174', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:55,154.11.15.28,"['852', '3356', '13904', '13904', '13904', '13904', '13904', '13904']",['  216.238.254.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:56,154.11.15.28,"['852', '1299', '12956', '22927', '262231']",['  190.52.84.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:57,154.11.15.28,"['852', '2914', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:58,154.11.15.28,"['852', '174', '3356', '3908', '721', '27066', '637']","['  138.157.44.0/22', '  138.167.24.0/22', '  205.102.129.0/24', '  205.102.128.0/24', '  205.102.131.0/24', '  205.102.130.0/24', '  205.102.127.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:00,154.11.15.28,"['852', '6939', '17557', '9541']",['  72.255.44.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:01,154.11.15.28,"['852', '1299', '5400', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:02,154.11.15.28,"['852', '174', '52320', '53087', '53087', '263940', '61901']",['  170.254.54.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:03,154.11.15.28,"['852', '6453', '3908', '721', '27066', '637']","['  205.102.129.0/24', '  137.234.128.0/17', '  205.110.232.0/23', '  205.102.131.0/24', '  205.102.130.0/24', '  138.157.44.0/22', '  214.44.112.0/21', '  214.44.244.0/22', '  137.234.96.0/19', '  205.110.0.0/19', '  138.157.74.0/23', '  214.44.108.0/22', '  205.102.127.0/24', '  205.110.55.0/24', '  138.168.0.0/16', '  205.110.214.0/23', '  138.167.24.0/22', '  205.102.128.0/24', '  204.223.78.0/23', '  205.110.87.0/24', '  205.110.85.0/24', '  205.110.187.0/24', '  205.110.54.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:04,154.11.15.28,"['852', '1299', '6762', '14259', '262589', '61522', '264780']","['  45.65.240.0/24', '  45.4.171.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:06,154.11.15.28,"['852', '174', '6453', '49832', '39216', '208293', '209565', '51684']",['  82.199.219.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:07,154.11.15.28,"['852', '1299', '200507', '28683', '37385', '37385', '37385', '37385']","['  41.190.231.0/24', '  41.190.230.0/24', '  41.190.228.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:08,154.11.15.28,"['852', '1299', '200507', '28683', '37385', '37385', '37385', '37385']",['  41.190.229.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:09,154.11.15.28,"['852', '174', '1299', '4739']",['  203.1.78.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:10,154.11.15.28,"['852', '1299', '6453', '49832', '49666', '25184', '58331']",['  185.141.107.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:11,154.11.15.28,"['852', '1299', '2914', '31027', '44869', '58360']",['  45.132.188.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:12,154.11.15.28,"['852', '1299', '5511', '28683', '37385', '37385', '37385', '37385']","['  41.190.231.0/24', '  41.190.230.0/24', '  41.190.228.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:13,154.11.15.28,"['852', '1299', '6762', '14259', '14117', '264780']","['  45.4.170.0/24', '  45.4.168.0/24', '  45.4.169.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:14,154.11.15.28,"['852', '6453', '174', '6391', '27232', '27232', '27232', '27232']",['  74.114.209.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:15,154.11.15.28,"['852', '174', '3356', '3216', '50509', '44050']",['  188.143.166.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:16,154.11.15.28,"['852', '1299', '6762', '14259', '14117', '264780']","['  45.4.170.0/24', '  45.4.168.0/24', '  45.4.169.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:17,154.11.15.28,"['852', '2914', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:18,154.11.15.28,"['852', '2914', '174', '6391', '27232', '27232', '27232', '27232']",['  74.114.209.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:19,154.11.15.28,"['852', '1299', '200507', '28683', '37385', '37385', '37385', '37385']","['  41.190.231.0/24', '  41.190.230.0/24', '  41.190.228.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:20,154.11.15.28,"['852', '3491', '136933', '132325']",['  103.94.79.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:21,154.11.15.28,"['852', '1299', '2914', '16509']",['  130.137.108.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:22,154.11.15.28,"['852', '3356', '6762', '14259', '14117', '264780']","['  45.4.170.0/24', '  45.4.168.0/24', '  45.4.169.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:23,,['N/A'],['N/A'],"['  155.220.28.0/24', '  141.236.0.0/16', '  128.44.12.0/24', '  128.44.160.0/21']"
154.11.15.28,179.0.156.33,04/28/20,12:31:24,154.11.15.28,"['852', '1299', '8220', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:25,,['N/A'],['N/A'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:26,154.11.15.28,"['852', '1299', '12956', '14259', '14117', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780']",['  45.65.241.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:27,154.11.15.28,"['852', '3356', '3257', '6713', '36903']",['  196.206.200.0/21'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:28,154.11.15.28,"['852', '3356', '2914', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:29,154.11.15.28,"['852', '6453', '37282', '327985']",['  169.239.233.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:30,154.11.15.28,"['852', '1299', '9498', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531']","['  197.214.1.0/24', '  197.214.8.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:31,154.11.15.28,"['852', '1299', '3356', '37100', '58363']",['  147.28.46.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:32,154.11.15.28,"['852', '1299', '6762', '14259', '14117', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780', '264780']",['  45.65.241.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:33,154.11.15.28,"['852', '1299', '2914', '16509']",['  130.137.105.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:34,154.11.15.28,"['852', '3356', '2914', '16509']",['  130.137.105.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:35,154.11.15.28,"['852', '1299', '5511', '28683', '37385', '37385', '37385', '37385']","['  41.190.231.0/24', '  41.190.228.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:37,154.11.15.28,"['852', '6453', '9498', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531']","['  197.214.1.0/24', '  197.214.8.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:38,154.11.15.28,"['852', '6453', '2914', '16509']",['  130.137.105.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:39,154.11.15.28,"['852', '1299', '2914', '16509']","['  130.137.105.0/24', '  130.137.99.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:40,154.11.15.28,"['852', '1299', '6762', '22381', '11432', '11432', '270267']","['  200.115.114.0/23', '  200.115.112.0/23', '  200.115.112.0/22']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:41,154.11.15.28,"['852', '1299', '6453', '49832', '49666', '25184', '58331']",['  185.141.107.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:42,154.11.15.28,"['852', '2914', '1299', '11014', '61452', '23097', '23097', '23097']",['  198.12.38.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:43,154.11.15.28,"['852', '174', '3356', '13904']",['  64.68.236.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:44,154.11.15.28,"['852', '1299', '5511', '28683', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385']",['  154.127.80.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:45,154.11.15.28,"['852', '2914', '6453', '4755', '133676', '139514']",['  103.145.54.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:46,154.11.15.28,"['852', '174', '3356', '42730']",['  178.254.46.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:47,154.11.15.28,"['852', '1299', '16509']",['  130.137.102.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:48,154.11.15.28,"['852', '174', '3356', '13904', '13904', '13904', '13904', '13904', '13904']",['  216.238.254.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:49,154.11.15.28,"['852', '3356', '4809', '11432', '270267']","['  200.115.114.0/23', '  200.115.112.0/23', '  200.115.112.0/22']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:50,154.11.15.28,"['852', '3491', '20485', '20485', '197394', '197394', '43265', '34518']",['  91.216.96.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:51,154.11.15.28,"['852', '3356', '16735', '53087', '263940', '61901']",['  170.254.54.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:52,154.11.15.28,"['852', '1299', '3491', '262589', '52280']","['  190.211.167.0/24', '  190.211.175.0/24', '  190.211.174.0/24', '  190.211.160.0/24', '  190.211.161.0/24', '  190.211.174.0/23']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:53,154.11.15.28,"['852', '1299', '11014', '61452', '23097', '23097', '23097']",['  198.12.38.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:56,154.11.15.28,"['852', '3356', '3549', '269750']","['  168.194.110.0/24', '  168.194.109.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:57,154.11.15.28,"['852', '1299', '8220', '42730']",['  185.195.100.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:58,154.11.15.28,"['852', '2914', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:31:59,154.11.15.28,"['852', '3356', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:00,154.11.15.28,"['852', '174', '2914', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:01,154.11.15.28,"['852', '6453', '4755', '9829', '132762', '133001']",['  103.38.36.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:02,154.11.15.28,"['852', '2914', '3257', '29405', '61424']",['  5.35.174.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:03,154.11.15.28,"['852', '1299', '8220', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:04,154.11.15.28,"['852', '1299', '5400', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:05,154.11.15.28,"['852', '1299', '200507', '28683', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385', '37385']",['  154.127.80.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:06,154.11.15.28,"['852', '1299', '3257', '8315', '8315', '8315', '8315']","['  5.100.228.0/24', '  5.100.231.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:07,154.11.15.28,"['852', '6453', '9498', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531', '37531']","['  197.214.6.0/24', '  197.214.7.0/24', '  197.214.4.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:08,154.11.15.28,"['852', '3356', '52863', '263528']",['  170.254.4.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:09,154.11.15.28,"['852', '1299', '174', '13536', '14477']",['  66.152.121.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:10,154.11.15.28,"['852', '6453', '6762', '3216', '8402']",['  128.69.52.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:11,154.11.15.28,"['852', '174', '3356', '3216', '50509', '44050']",['  188.143.166.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:12,154.11.15.28,"['852', '174', '38195', '24341']",['  202.137.173.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:13,154.11.15.28,"['852', '174', '6762', '52361', '265809']",['  45.70.152.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:14,154.11.15.28,"['852', '1299', '6762', '52361', '265809']",['  45.70.152.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:16,154.11.15.28,"['852', '1299', '3356', '7911', '10753']",['  64.200.250.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:17,,['N/A'],['N/A'],['  178.254.46.0/24']
154.11.15.28,179.0.156.33,04/28/20,12:32:18,,['N/A'],['N/A'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:20,154.11.15.28,"['852', '1299', '174', '16509']",['  130.137.80.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:21,154.11.15.28,"['852', '3356', '12956', '10429', '52871', '52871', '52871']",['  177.136.12.0/24'],['  185.104.72.0/24']
154.11.15.28,179.0.156.33,04/28/20,12:32:22,154.11.15.28,"['852', '1299', '8220', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:24,154.11.15.28,"['852', '1299', '3356', '3216', '12297', '50250', '50250']",['  45.159.72.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:25,154.11.15.28,"['852', '6453', '3356', '13904', '13904', '13904', '13904', '13904', '13904']",['  216.238.254.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:26,154.11.15.28,"['852', '2914', '3356', '13904', '13904', '13904', '13904', '13904', '13904']",['  216.238.254.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:27,154.11.15.28,"['852', '3356', '3216', '12297', '50250', '50250']",['  45.159.72.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:28,154.11.15.28,"['852', '174', '6453', '7713', '138844']",['  103.139.181.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:29,154.11.15.28,"['852', '1299', '7713', '138844']",['  103.139.181.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:30,154.11.15.28,"['852', '174', '7713', '7713', '7713', '7713', '138844']",['  103.139.181.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:31,154.11.15.28,"['852', '2914', '3223', '51559']",['  94.102.6.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:32,154.11.15.28,"['852', '1299', '3223', '51559']",['  94.102.6.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:33,154.11.15.28,"['852', '3356', '1299', '38195', '24341']",['  202.137.173.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:34,154.11.15.28,"['852', '1299', '209', '721', '27064', '3475']",['  205.70.192.0/20'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:35,154.11.15.28,"['852', '1299', '6762', '14259', '262589', '61522', '264780']","['  45.4.170.0/24', '  45.4.168.0/24', '  45.4.169.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:39,154.11.15.28,"['852', '2914', '20473', '395841']",['  208.91.190.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:40,,['N/A'],['N/A'],"['  160.119.127.0/24', '  160.119.125.0/24', '  160.119.126.0/24', '  160.119.124.0/24']"
154.11.15.28,179.0.156.33,04/28/20,12:32:41,154.11.15.28,"['852', '1299', '20473', '395841']",['  208.91.190.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:43,154.11.15.28,"['852', '1299', '3356', '3549', '269750']",['  168.194.108.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:44,154.11.15.28,"['852', '2914', '19905']",['  51.179.220.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:32:45,154.11.15.28,"['852', '1299', '8732', '8595', '39238', '50465']","['  193.106.175.0/24', '  193.106.172.0/24', '  193.106.174.0/24', '  193.106.173.0/24']",['N/A']
