From,To,Date,Time,Next_Hop,AS_PATH,Announce,Withdraw
154.11.15.28,179.0.156.33,04/28/20,12:30:00,154.11.15.28,"['852', '3356', '5511', '12479']",['  62.37.106.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:01,154.11.15.28,"['852', '6461', '8218', '12654']",['  84.205.66.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:02,154.11.15.28,"['852', '33891', '5539', '58365']",['  147.28.53.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:03,,['N/A'],['N/A'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:04,154.11.15.28,"['852', '3356', '37100', '58363']",['  147.28.46.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:05,154.11.15.28,"['852', '1299', '2914', '63528', '58362']",['  147.28.42.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:06,154.11.15.28,"['852', '11164', '10490', '2637', '2637', '2637', '47065']",['  184.164.242.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:07,154.11.15.28,"['852', '174', '20473', '9558']",['  103.209.182.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:08,154.11.15.28,"['852', '174', '3356', '52863', '263528']",['  170.254.4.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:09,154.11.15.28,"['852', '3356', '37100', '58363']",['  147.28.46.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:10,154.11.15.28,"['852', '6453', '6762', '3216', '8402']",['  128.69.52.0/22'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:11,154.11.15.28,"['852', '3356', '37100', '58363']",['  147.28.46.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:12,154.11.15.28,"['852', '3356', '37100', '58363']",['  147.28.44.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:14,154.11.15.28,"['852', '3356', '5511', '12479']",['  62.37.106.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:16,154.11.15.28,"['852', '3356', '3549', '22548', '58364']",['  147.28.49.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:17,154.11.15.28,"['852', '1299', '7473', '17557', '132165']","['  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:18,154.11.15.28,"['852', '1299', '8220', '43390']","['  77.94.224.0/24', '  77.94.225.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:19,154.11.15.28,"['852', '3356', '6762', '38193', '132165', '132165', '132165', '132165', '132165']","['  196.246.199.0/24', '  196.246.198.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:20,154.11.15.28,"['852', '41095', '43727', '35168', '21299']","['  5.34.88.0/21', '  213.109.220.0/22', '  87.247.32.0/22', '  87.247.32.0/24', '  87.247.60.0/22', '  77.94.15.0/24', '  37.99.84.0/24', '  95.82.71.0/24', '  37.99.83.0/24', '  37.99.100.0/24', '  37.99.3.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:22,154.11.15.28,"['852', '2914', '20473', '206671']",['  44.131.14.0/24'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:23,154.11.15.28,"['852', '174', '3356', '13904', '13904', '13904', '13904', '13904', '13904']",['  216.238.254.0/23'],['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:24,154.11.15.28,"['852', '1299', '6762', '17557', '132165']","['  196.246.195.0/24', '  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:25,154.11.15.28,"['852', '1299', '6762', '17557', '132165']","['  196.246.195.0/24', '  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24']",['N/A']
154.11.15.28,179.0.156.33,04/28/20,12:30:26,154.11.15.28,"['852', '3356', '6762', '17557', '132165']","['  196.246.195.0/24', '  196.246.110.0/24', '  196.246.114.0/24', '  196.246.193.0/24', '  196.246.115.0/24', '  196.246.116.0/24', '  196.246.117.0/24', '  196.246.192.0/24', '  196.246.109.0/24', '  196.246.111.0/24', '  196.246.194.0/24', '  196.246.113.0/24', '  196.246.119.0/24', '  196.246.112.0/24', '  196.246.118.0/24']",['N/A']
