From,To,Date,Time,Next_Hop,AS_PATH,Announce,Withdraw
AS265721,AS12654,04/29/20,15:05:23,45.65.244.1,"['265721', '23520', '1299', '209', '721', '27064', '367', '1541']",['  143.76.160.0/20'],['N/A']
AS265721,AS12654,04/29/20,15:05:25,45.65.244.1,"['265721', '23520', '1299', '6453', '37662', '36866', '37619', '37228']","['  197.243.88.0/22', '  197.243.96.0/22', '  197.243.80.0/22', '  197.243.44.0/22', '  197.243.76.0/22', '  197.243.84.0/22']",['N/A']
AS265721,AS12654,04/29/20,15:05:32,45.65.244.1,"['265721', '23520', '6939', '37273', '37228']","['  105.179.0.0/19', '  105.178.0.0/17']",['N/A']
AS265721,AS12654,04/29/20,15:05:33,45.65.244.1,"['265721', '23520', '6939', '132876', '136255']",['  65.18.127.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:05:34,45.65.244.1,"['265721', '23520', '1299', '174', '4230', '61812', '264354', '270563']","['  24.152.29.0/24', '  24.152.28.0/22', '  24.152.28.0/24', '  24.152.28.0/23']",['N/A']
AS265721,AS12654,04/29/20,15:05:36,45.65.244.1,"['265721', '23520', '6830', '6453', '55410', '135244']","['  45.113.63.0/24', '  45.113.62.0/24', '  45.113.62.0/23', '  45.251.70.0/23', '  45.251.71.0/24', '  45.251.70.0/24', '  45.251.69.0/24', '  45.251.68.0/24', '  45.251.68.0/23']",['N/A']
AS265721,AS12654,04/29/20,15:05:37,45.65.244.1,"['265721', '23520', '6830', '1273', '55410', '135244', '135244', '135244', '135244', '135244', '135244', '135244', '135244', '135244']",['  103.42.16.0/23'],['N/A']
AS265721,AS12654,04/29/20,15:05:38,45.65.244.1,"['265721', '23520', '1299', '2828', '4230', '52771', '61812', '264354', '270563']","['  24.152.29.0/24', '  24.152.28.0/22', '  24.152.28.0/24', '  24.152.28.0/23']",['N/A']
AS265721,AS12654,04/29/20,15:05:39,45.65.244.1,"['265721', '23520', '1299', '174', '16509']",['  130.137.90.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:05:41,45.65.244.1,"['265721', '23520', '1299', '12956', '22927', '52465', '52465']",['  190.112.219.0/24'],['N/A']
