Source,Time,date,Hops
102.134.194.250,6.0,15-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.182', '102.134.253.11', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
102.134.194.250,8.0,15-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.181', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
102.134.194.250,9.0,15-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.181', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
103.126.52.180,6.0,14-04,"['103.126.52.179', '103.126.52.195', '45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.126.52.180,8.0,14-04,"['45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.126.52.180,9.0,14-04,"['103.126.52.195', '45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.141.61.9,3.0,13-04,"['192.168.11.33', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,5.0,13-04,"['192.168.11.33', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,6.0,13-04,"['192.168.11.49', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,8.0,13-04,"['192.168.11.33', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,9.0,13-04,"['192.168.11.49', '103.141.61.1', '103.129.217.66', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.202.216.212,21.0,14-04,"['192.168.102.254', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.202.216.212,23.0,14-04,"['192.168.101.254', '153.16.71.165', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '103.202.216.213', '103.48.31.240', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
