Source,Time,date,Hops
103.202.216.212,0.0,15-04,"['192.168.103.254', '153.16.71.176', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.202.216.212,2.0,15-04,"['192.168.101.254', '153.16.71.165', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.202.216.213', '103.48.31.122', '103.48.31.67', '103.48.31.185', '103.202.216.213', '103.48.31.240', '103.48.31.122', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.202.216.212,3.0,15-04,"['192.168.101.254', '153.16.71.165', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '103.202.216.213', '103.48.31.240', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.242.99.149,6.0,13-04,"['103.242.99.150', '10.63.1.222', '103.242.99.129', '108.170.240.225', '108.170.234.69', '8.8.8.8']"
103.242.99.149,8.0,13-04,"['103.242.99.150', '10.63.1.210', '103.242.99.129', '108.170.240.225', '108.170.234.69', '8.8.8.8']"
103.242.99.149,9.0,13-04,"['103.242.99.150', '10.63.1.210', '103.242.99.129', '108.170.240.225', '108.170.234.69', '8.8.8.8']"
103.5.0.34,3.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '120.28.0.89', '209.85.149.24', '108.170.241.65', '8.8.8.8']"
103.5.0.34,5.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '209.85.149.24', '108.170.241.65', '172.253.64.111', '8.8.8.8']"
103.5.0.34,6.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '209.85.149.24', '108.170.241.65', '8.8.8.8']"
103.5.0.34,8.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '209.85.149.24', '108.170.241.65', '8.8.8.8']"
103.5.0.34,9.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '120.28.0.89', '209.85.149.24', '108.170.241.65', '172.253.64.111', '8.8.8.8']"
103.5.0.34,12.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '209.85.149.24', '108.170.241.65', '172.253.64.111', '8.8.8.8']"
103.5.0.34,15.0,14-04,"['192.168.10.1', '172.17.0.15', '103.5.0.33', '203.177.97.25', '209.85.149.24', '108.170.241.65', '8.8.8.8']"
104.15.24.53,3.0,14-04,"['192.168.1.1', '104.15.24.54', '45.25.108.1', '99.173.77.44', '99.134.77.94', '12.83.103.9', '12.123.138.102', '12.122.28.153', '12.122.140.237', '12.255.10.8', '172.253.71.61', '108.170.225.105', '8.8.8.8']"
104.15.24.53,5.0,14-04,"['192.168.1.1', '104.15.24.54', '45.25.108.1', '99.173.77.44', '99.134.77.94', '12.83.103.9', '12.123.138.102', '12.122.28.153', '12.122.140.237', '12.255.10.8', '172.253.71.61', '108.170.225.105', '8.8.8.8']"
104.15.24.53,6.0,14-04,"['192.168.1.1', '104.15.24.54', '45.25.108.1', '99.173.77.46', '12.123.138.230', '12.122.2.161', '12.122.96.85', '12.255.10.2', '108.170.225.164', '108.170.225.105', '8.8.8.8']"
104.179.209.17,15.0,14-04,"['192.168.86.1', '192.168.0.1', '192.168.1.254', '104.179.208.1', '71.148.149.238', '71.145.1.68', '12.83.39.229', '12.122.163.61', '12.255.10.236', '209.85.243.12', '108.170.237.105', '8.8.8.8']"
104.179.209.17,18.0,14-04,"['192.168.86.1', '192.168.0.1', '192.168.1.254', '104.179.208.1', '71.148.149.238', '12.83.39.229', '12.122.163.61', '12.255.10.236', '209.85.243.12', '108.170.237.105', '8.8.8.8']"
108.201.184.61,18.0,13-04,"['10.112.0.1', '76.253.0.1', '71.148.135.1', '12.122.149.246', '12.122.3.70', '12.122.163.61', '12.255.10.228', '108.170.243.1', '108.170.236.63', '8.8.8.8']"
108.201.184.61,20.0,13-04,"['10.112.0.1', '76.253.0.1', '71.148.135.1', '12.122.149.246', '12.122.3.70', '12.122.163.61', '12.255.10.228', '108.170.243.1', '108.170.236.63', '8.8.8.8']"
108.201.184.61,21.0,13-04,"['10.112.0.1', '76.253.0.1', '71.148.135.1', '12.122.149.246', '12.122.3.70', '12.122.163.61', '12.255.10.228', '108.170.243.1', '108.170.236.63', '8.8.8.8']"
108.202.150.53,12.0,13-04,"['192.168.1.1', '108.202.150.54', '99.90.160.1', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,14.0,13-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,15.0,13-04,"['192.168.1.1', '108.202.150.54', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,17.0,13-04,"['192.168.1.1', '108.202.150.54', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,18.0,13-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,20.0,13-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,15.0,14-04,"['192.168.1.1', '108.202.150.54', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,18.0,14-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,20.0,14-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,21.0,14-04,"['192.168.1.1', '108.202.150.54', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,23.0,14-04,"['192.168.1.1', '108.202.150.54', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,0.0,15-04,"['192.168.1.1', '108.202.150.54', '99.90.160.1', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,2.0,15-04,"['192.168.1.1', '108.202.150.54', '99.90.160.1', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,9.0,15-04,"['192.168.1.1', '108.202.150.54', '99.90.160.1', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,12.0,15-04,"['192.168.1.1', '108.202.150.54', '99.90.160.1', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
108.202.150.53,15.0,15-04,"['192.168.1.1', '108.202.150.54', '99.158.64.208', '12.240.208.26', '12.123.6.57', '12.255.10.134', '216.239.40.101', '142.250.60.159', '8.8.8.8']"
109.105.133.166,3.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.51.32', '108.170.232.251', '172.253.79.169', '8.8.8.8']"
109.105.133.166,6.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.50.44', '108.170.235.204', '172.253.79.169', '8.8.8.8']"
109.105.133.166,8.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.51.32', '108.170.232.251', '172.253.79.169', '8.8.8.8']"
109.105.133.166,9.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.51.32', '108.170.232.251', '172.253.79.169', '8.8.8.8']"
109.105.133.166,12.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.51.32', '108.170.232.251', '172.253.79.169', '8.8.8.8']"
109.105.133.166,15.0,15-04,"['109.105.133.165', '195.208.208.232', '108.170.250.51', '216.239.50.44', '108.170.235.204', '172.253.79.169', '8.8.8.8']"
109.148.70.93,21.0,14-04,"['192.168.1.254', '81.139.58.172', '213.121.192.118', '194.72.16.66', '109.159.253.75', '216.239.40.71', '108.170.232.99', '8.8.8.8']"
109.148.70.93,23.0,14-04,"['192.168.1.254', '81.139.58.173', '81.139.58.172', '213.121.192.118', '194.72.16.66', '109.159.253.75', '216.239.40.71', '108.170.232.99', '8.8.8.8']"
109.148.70.93,0.0,15-04,"['192.168.1.254', '81.139.58.172', '213.121.192.118', '194.72.16.66', '109.159.253.75', '216.239.40.71', '108.170.232.99', '8.8.8.8']"
109.148.70.93,2.0,15-04,"['192.168.1.254', '81.139.58.173', '81.139.58.172', '213.121.192.118', '194.72.16.66', '109.159.253.75', '216.239.40.71', '108.170.232.99', '8.8.8.8']"
109.148.70.93,3.0,15-04,"['192.168.1.254', '81.139.58.173', '81.139.58.172', '213.121.192.118', '194.72.16.66', '109.159.253.75', '216.239.40.71', '108.170.232.99', '8.8.8.8']"
109.167.129.151,9.0,13-04,"['192.168.88.1', '5.19.0.222', '5.19.0.218', '5.19.0.222', '5.19.0.221', '188.234.131.158', '72.14.214.138', '74.125.244.180', '216.239.51.249', '72.14.232.195', '216.239.43.20', '72.14.236.73', '8.8.8.8']"
109.167.129.151,11.0,13-04,"['192.168.88.1', '5.19.0.218', '5.19.0.222', '5.19.0.218', '5.19.0.221', '188.234.131.158', '72.14.214.138', '74.125.244.180', '216.239.51.249', '72.14.233.227', '172.253.65.159', '216.239.47.201', '8.8.8.8']"
109.167.129.151,12.0,13-04,"['192.168.88.1', '5.19.0.222', '5.19.0.218', '5.19.0.222', '5.19.0.221', '188.234.131.158', '72.14.214.138', '74.125.244.180', '216.239.51.249', '72.14.232.195', '216.239.43.20', '72.14.236.73', '8.8.8.8']"
109.167.129.151,14.0,13-04,"['192.168.88.1', '5.19.0.218', '5.19.0.222', '5.19.0.218', '5.19.0.221', '188.234.131.158', '72.14.214.138', '74.125.244.180', '216.239.51.249', '72.14.232.195', '216.239.43.20', '72.14.236.73', '8.8.8.8']"
109.167.129.151,15.0,13-04,"['192.168.88.1', '5.19.0.218', '5.19.0.222', '5.19.0.218', '5.19.0.221', '188.234.131.158', '72.14.214.138', '74.125.244.180', '216.239.51.249', '64.233.175.133', '74.125.253.109', '72.14.236.73', '8.8.8.8']"
109.220.238.238,12.0,13-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,14.0,13-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,15.0,13-04,"['192.168.1.1', '80.10.237.201', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,17.0,13-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,21.0,13-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,0.0,14-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.220.238.238,3.0,14-04,"['192.168.1.1', '80.10.237.201', '193.253.93.198', '193.252.160.54', '193.252.137.14', '193.251.151.157', '74.125.147.10', '108.170.244.193', '66.249.94.33', '8.8.8.8']"
109.68.238.110,3.0,13-04,"['10.241.16.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,5.0,13-04,"['10.241.9.1', '10.241.30.125', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '216.239.50.132', '72.14.235.69', '72.14.237.201', '8.8.8.8']"
109.68.238.110,6.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '216.239.50.132', '72.14.235.69', '72.14.237.201', '8.8.8.8']"
109.68.238.110,8.0,13-04,"['10.241.16.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,9.0,13-04,"['10.241.9.1', '10.241.30.125', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,11.0,13-04,"['10.241.16.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,12.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,14.0,13-04,"['10.241.9.1', '10.241.30.125', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,15.0,13-04,"['10.241.16.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,17.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,18.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,20.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,21.0,13-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,0.0,14-04,"['10.241.9.1', '10.241.30.125', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '209.85.255.136', '108.170.235.64', '72.14.237.201', '8.8.8.8']"
109.68.238.110,3.0,14-04,"['10.241.23.1', '10.241.80.100', '109.68.238.1', '109.68.238.242', '91.218.161.25', '91.185.23.34', '72.14.222.222', '108.170.250.130', '216.239.50.132', '72.14.235.69', '72.14.237.201', '8.8.8.8']"
121.69.40.129,6.0,13-04,"['192.168.0.1', '10.255.45.4', '8.8.8.8']"
121.69.40.129,8.0,13-04,"['192.168.0.1', '10.255.45.4', '218.241.245.181', '8.8.8.8']"
121.69.40.129,9.0,13-04,"['192.168.0.1', '10.255.45.4', '218.241.253.241', '8.8.8.8']"
121.69.40.129,11.0,13-04,"['192.168.0.1', '10.255.45.4', '8.8.8.8']"
121.69.40.129,12.0,13-04,"['192.168.0.1', '10.255.45.4', '121.69.40.130', '10.255.37.193', '218.241.253.241', '218.241.245.181', '202.99.1.177', '61.51.37.197', '202.96.13.197', '202.96.12.185', '219.158.7.18', '219.158.19.66', '219.158.24.134', '219.158.10.30', '219.158.33.174', '108.170.241.33', '209.85.243.23', '8.8.8.8']"
121.69.40.129,14.0,13-04,"['192.168.0.1', '10.255.45.4', '10.255.37.193', '8.8.8.8']"
121.69.40.129,15.0,13-04,"['192.168.0.1', '10.255.45.4', '10.255.37.193', '218.241.253.241', '218.241.245.181', '202.99.1.177', '61.51.37.197', '202.96.13.197', '202.96.12.185', '219.158.19.66', '219.158.24.134', '219.158.10.30', '219.158.33.174', '108.170.241.33', '209.85.243.23', '8.8.8.8']"
13.53.120.216,6.0,14-04,"['100.65.1.129', '52.93.142.139', '52.93.145.196', '52.93.144.69', '74.125.119.34', '108.170.253.161', '209.85.242.83', '8.8.8.8']"
13.53.120.216,8.0,14-04,"['100.65.1.129', '52.93.142.139', '52.93.145.196', '52.93.144.69', '74.125.119.34', '108.170.253.161', '209.85.242.83', '8.8.8.8']"
13.53.120.216,9.0,14-04,"['100.65.1.129', '52.93.142.139', '52.93.145.196', '52.93.144.69', '74.125.119.34', '108.170.253.161', '209.85.242.83', '8.8.8.8']"
134.249.110.140,15.0,13-04,"['192.168.106.1', '81.23.23.75', '74.125.32.160', '108.170.248.131', '108.170.234.206', '216.239.46.121', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.110.140,17.0,13-04,"['192.168.106.1', '176.8.57.252', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.110.140,18.0,13-04,"['192.168.106.1', '176.8.57.252', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.209', '216.239.41.171', '176.8.57.252', '216.239.41.171', '8.8.8.8']"
134.249.110.140,20.0,13-04,"['192.168.106.1', '176.8.57.252', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.110.140,21.0,13-04,"['192.168.106.1', '176.8.57.252', '81.23.23.75', '74.125.32.160', '108.170.248.131', '108.170.234.206', '216.239.46.121', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.110.140,0.0,14-04,"['192.168.106.1', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.110.140,3.0,14-04,"['192.168.106.1', '81.23.23.75', '74.125.32.160', '108.170.248.131', '108.170.234.224', '216.239.46.121', '108.170.250.209', '216.239.41.171', '8.8.8.8']"
134.249.119.130,6.0,15-04,"['192.168.88.1', '178.137.19.253', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.193', '74.125.251.103', '8.8.8.8']"
134.249.119.130,8.0,15-04,"['192.168.88.1', '178.137.19.253', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.193', '74.125.251.103', '8.8.8.8']"
134.249.119.130,9.0,15-04,"['192.168.88.1', '178.137.19.253', '81.23.23.75', '74.125.32.160', '108.170.248.131', '209.85.248.105', '209.85.251.188', '108.170.250.193', '74.125.251.103', '8.8.8.8']"
135.84.58.40,15.0,13-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,17.0,13-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.29.214', '64.125.29.161', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,18.0,13-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.29.214', '64.125.29.161', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,20.0,13-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,21.0,13-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.29.214', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,0.0,14-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
135.84.58.40,3.0,14-04,"['10.36.75.2', '135.84.58.35', '144.121.149.53', '144.121.35.143', '144.121.35.154', '144.121.35.40', '209.66.120.141', '64.125.29.214', '64.125.29.161', '64.125.13.153', '108.170.248.33', '216.239.62.149', '8.8.8.8']"
136.32.154.104,3.0,13-04,"['192.168.10.1', '192.119.17.140', '23.255.225.114', '72.14.216.86', '108.170.243.174', '72.14.239.111', '8.8.8.8']"
136.32.154.104,5.0,13-04,"['192.168.10.1', '192.119.17.140', '23.255.225.114', '72.14.216.86', '108.170.243.174', '72.14.239.111', '8.8.8.8']"
136.32.154.104,6.0,13-04,"['192.168.10.1', '10.26.0.18', '192.119.17.140', '10.26.0.18', '23.255.225.114', '72.14.216.86', '108.170.243.174', '72.14.239.111', '8.8.8.8']"
136.55.6.164,3.0,13-04,"['10.1.1.1', '192.168.1.1', '23.255.225.170', '192.119.18.108', '192.119.18.105', '216.21.171.247', '108.170.249.33', '209.85.241.153', '8.8.8.8']"
136.55.6.164,5.0,13-04,"['10.1.1.1', '192.168.1.1', '23.255.225.170', '192.119.18.108', '10.26.0.211', '192.119.18.105', '216.21.171.247', '108.170.249.33', '209.85.241.153', '8.8.8.8']"
136.55.6.164,6.0,13-04,"['10.1.1.1', '192.168.1.1', '10.26.0.211', '23.255.225.170', '192.119.18.108', '192.119.18.105', '216.21.171.247', '108.170.249.33', '209.85.241.153', '8.8.8.8']"
136.55.6.164,8.0,13-04,"['10.1.1.1', '192.168.1.1', '23.255.225.170', '192.119.18.108', '192.119.18.105', '216.21.171.247', '108.170.249.33', '209.85.241.153', '8.8.8.8']"
136.55.6.164,9.0,13-04,"['10.1.1.1', '192.168.1.1', '23.255.225.170', '192.119.18.108', '192.119.18.105', '216.21.171.247', '108.170.249.33', '209.85.241.153', '8.8.8.8']"
137.193.67.23,15.0,14-04,"['137.193.67.1', '137.193.9.174', '188.1.231.253', '188.1.144.222', '209.85.172.242', '108.170.251.129', '74.125.37.167', '8.8.8.8']"
137.193.67.23,18.0,14-04,"['137.193.67.1', '188.1.231.253', '188.1.144.222', '209.85.172.242', '108.170.251.129', '74.125.37.167', '8.8.8.8']"
138.255.248.5,18.0,14-04,"['138.255.248.1', '10.99.0.41', '190.242.168.36', '69.79.100.20', '74.125.50.210', '108.170.249.17', '108.170.225.13', '8.8.8.8']"
138.255.248.5,20.0,14-04,"['138.255.248.1', '10.99.0.61', '10.99.0.41', '190.242.168.36', '69.79.100.20', '74.125.50.210', '108.170.249.17', '108.170.225.13', '8.8.8.8']"
138.255.248.5,21.0,14-04,"['138.255.248.1', '10.99.0.61', '10.99.0.41', '190.242.168.36', '69.79.100.20', '74.125.50.210', '108.170.249.17', '108.170.225.13', '8.8.8.8']"
145.53.253.157,18.0,13-04,"['192.168.2.1', '195.190.228.14', '72.14.196.74', '108.170.241.129', '108.170.236.223', '8.8.8.8']"
145.53.253.157,20.0,13-04,"['192.168.2.1', '195.190.228.14', '139.156.98.100', '72.14.196.74', '108.170.241.129', '108.170.236.223', '8.8.8.8']"
145.53.253.157,21.0,13-04,"['192.168.2.1', '195.190.228.14', '139.156.98.100', '72.14.196.74', '108.170.241.129', '108.170.236.223', '8.8.8.8']"
147.78.236.20,15.0,14-04,"['192.168.13.37', '172.25.132.4', '172.25.132.14', '172.25.132.15', '91.205.215.157', '91.205.214.253', '185.1.95.82', '108.170.241.129', '108.170.236.225', '8.8.8.8']"
147.78.236.20,18.0,14-04,"['192.168.13.37', '172.25.132.4', '172.25.132.14', '172.25.132.15', '185.1.95.82', '108.170.241.129', '108.170.236.225', '8.8.8.8']"
147.78.236.20,20.0,14-04,"['192.168.13.37', '172.25.132.4', '172.25.132.14', '172.25.132.15', '91.205.215.157', '91.205.214.253', '185.1.95.82', '108.170.241.129', '108.170.236.225', '8.8.8.8']"
